fold_id,dataset_id,dataset_name,model,defect_pair,process,severity,candidate_key,training_n,training_mean,training_sd,training_se,selection_score,direction,heldout_interaction,oriented_heldout_interaction,selection_optimism
lodo_1475,1475,first-order-theorem-proving,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016660477260538105,0.020277234515769578,0.004651916637300762,3.581422144788307,1,0.003437266380067139,0.003437266380067139,0.013223210880470966
lodo_1485,1485,madelon,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.013737472387154325,0.017674598598187305,0.004054831008270743,3.387927230292372,1,0.05897435897435902,0.05897435897435902,-0.0452368865872047
lodo_1494,1494,qsar-biodeg,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.015720528317578673,0.020463474540019365,0.004694643029140098,3.348609941160563,1,0.02129629629629633,0.02129629629629633,-0.005575767978717658
lodo_1557,1557,abalone,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.015554313648718916,0.020401324053018907,0.004680384729554476,3.323298093530769,1,0.02445437500463173,0.02445437500463173,-0.008900061355912814
lodo_1590,1590,adult,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016567122110450895,0.020336871040304582,0.00466559819434245,3.550910605748337,1,0.0052110142317241355,0.0052110142317241355,0.011356107878726759
lodo_29,29,credit-approval,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016031669418193457,0.020502987869859615,0.004703708008703069,3.4083045521811193,1,0.015384615384615441,0.015384615384615441,0.0006470540335780164
lodo_37,37,diabetes,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.013040216426740473,0.015347309996195192,0.0035209143857161283,3.703644848520845,1,0.07222222222222219,0.07222222222222219,-0.05918200579548172
lodo_40994,40994,climate-model-simulation-crashes,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,19,0.010323380196511443,0.013542960693713572,0.0031069682663284713,3.322653890092885,1,-0.07666666666666666,-0.07666666666666666,0.0869900468631781
lodo_42178,42178,telco-customer-churn,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016821849425346858,0.020152212632760177,0.004623234650260281,3.638545455269032,1,0.00037119524870081005,0.00037119524870081005,0.016450654176646047
lodo_43980,43980,wine,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.015470771982296025,0.020359199845003992,0.004670720773459018,3.3122879171470494,1,0.026041666666666668,0.026041666666666668,-0.010570894684370643
lodo_46720,46720,OSMI_Mental_Health_in_Tech_Survey,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016768529457379083,0.0201966188343991,0.004633422131597679,3.619037717937654,1,0.0013842746400885935,0.0013842746400885935,0.01538425481729049
lodo_46827,46827,QSAR_Bioconcentration_classification,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016841386017383744,0.02013517139069516,0.00461932512120587,3.64585422664238,1,0.0,0.0,0.016841386017383744
lodo_46919,46919,credit_card_clients_default,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.0162910786730182,0.020459656017942245,0.0046937670000954754,3.470789809695885,1,0.010455839542945267,0.010455839542945267,0.005835239130072934
lodo_46922,46922,Diabetes130US,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.01685125356239176,0.02012640654252134,0.0046173143271298085,3.6495790341539847,1,-0.00018748335515232176,-0.00018748335515232176,0.017038736917544085
lodo_46930,46930,hazelnut-spread-contaminant-detection,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.01666594742089252,0.02027345320190619,0.004651049144405798,3.583266248850119,1,0.0033333333333332624,0.0033333333333332624,0.013332614087559256
lodo_46941,46941,maternal_health_risk,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.01672160126137608,0.020233167033091744,0.004641806863422399,3.602390567591876,1,0.002275910364145576,0.002275910364145576,0.014445690897230504
lodo_46947,46947,online_shoppers_intention,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016040834628592522,0.02050263930646272,0.00470362804277557,3.410311037079149,1,0.015210476387033212,0.015210476387033212,0.0008303582415593105
lodo_46960,46960,students_dropout_and_academic_success,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.01648572584289632,0.02038136035027376,0.004675804742038424,3.525751555594116,1,0.00675754331526109,0.00675754331526109,0.009728182527635229
lodo_60,60,waveform-5000,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016431716567466614,0.020407044663010594,0.0046816971274939055,3.5097777835668,1,0.007783719548425457,0.007783719548425457,0.008647997019041159
lodo_6332,6332,cylinder-bands,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.01645999776414194,0.020393976075630326,0.00467869898792941,3.518071542240084,1,0.007246376811594235,0.007246376811594235,0.009213620952547706
