stage,task_id,dataset_name,numeric_outlier,label_flip,joint
Calibration,29,credit-approval,0.0,0.13205128205128203,0.11666666666666659
Calibration,37,diabetes,0.04654320987654318,0.08753086419753091,0.0618518518518519
Calibration,58,waveform-5000,-0.0034858387799563775,0.009665280253515577,-0.0016042780748662573
Calibration,7592,adult,0.015476198149602697,0.01736416448971963,0.027629348407598193
Calibration,9900,abalone,0.026764588906921943,0.043226221619471726,0.04553643552176193
Calibration,9957,qsar-biodeg,0.0,0.11137566137566139,0.09007936507936505
Calibration,9976,madelon,0.0256410256410257,0.11153846153846154,0.07820512820512822
Calibration,9985,first-order-theorem-proving,-0.001472812804251859,0.06574354003828016,0.060833460853961165
Calibration,14954,cylinder-bands,0.012622720897615736,0.042776998597475524,0.048153342683497025
Calibration,146819,climate-model-simulation-crashes,0.0,0.0,-0.03833333333333333
Calibration,361642,telco-customer-churn,0.0,0.0,-0.00037119524870081005
Calibration,362459,wine,0.01953125,0.07161458333333333,0.06510416666666667
Calibration,363428,OSMI_Mental_Health_in_Tech_Survey,0.0015220700152207185,-0.040157870517857776,-0.04002007514272565
Calibration,363543,QSAR_Bioconcentration_classification,0.0,0.0,0.0
Calibration,363627,credit_card_clients_default,0.018391225213795475,0.02522032783779186,0.03315571350864207
Calibration,363630,Diabetes130US,0.0,-0.0017148267092867986,-0.0015273433541344768
Calibration,363674,hazelnut-spread-contaminant-detection,0.006666666666666636,0.09583333333333328,0.09916666666666667
Calibration,363685,maternal_health_risk,0.016057163606183183,0.09416692602967103,0.10794817927170863
Calibration,363691,online_shoppers_intention,0.04765725986031,-0.00015433607426962315,0.03229244739900716
Calibration,363704,students_dropout_and_academic_success,0.022286677468049094,0.019804601846921937,0.03533373599970994
Final,11,balance-scale,0.01149425287356324,0.0727969348659004,0.05363984674329506
Final,31,credit-g,0.01031746031746028,0.15079365079365073,0.1571428571428571
Final,3021,sick,0.04347826086956519,0.03790569503980401,0.059644825474586605
Final,10101,blood-transfusion-service-center,0.006335282651072083,0.042884990253411304,0.04142300194931773
Final,125921,LED-display-domain-7digit,-0.036666666666666514,0.0366666666666667,-0.00833333333333323
Final,362103,electrical_grid_stability_simulated_classification,0.03805342431747464,0.06205078023519639,0.09648302418353856
Final,362405,ibm-employee-attrition,0.02437893956247687,-0.016407119021134564,-0.010659992584352981
Final,362416,eucalyptus,0.06345675468809801,0.02795382925979939,0.06965906779339615
Final,362453,MiniBooNE,0.0026940639269406783,0.005479452054794572,0.00657534246575342
Final,363441,diabetes_risk_prediction_dataset,0.0,0.0962621607782898,0.1016385048643113
Final,363555,glioma_grading_clinical_and_mutation_features,0.0006802721088435085,0.04897959183673469,0.07278911564625845
Final,363616,APSFailure,0.0028981654824595062,0.07165830605460126,0.06774301427252456
Final,363661,SDSS17,0.035111887925372454,0.004611942935824491,0.06607605054889498
Final,363679,HR_Analytics_Job_Change_of_Data_Scientists,0.011803079156035992,0.02413899912579161,0.02815867160863413
Final,363682,Is-this-a-good-customer,0.002525252525252523,-0.013549046456708513,-0.007094520846976593
Final,363694,polish_companies_bankruptcy,-0.0013163662411529813,0.046397566660251854,0.04866679496225971
