task_id,dataset_name,mean,lower,upper,label
363661,SDSS17,-2.6352219687698,-3.6879599095656896,-1.5824840279739099,SDSS17 (363661)
363555,glioma_grading_clinical_and_mutation_features,-2.31292517006802,-6.913026911306019,2.28717657116996,Glioma grading (363555)
363441,diabetes_risk_prediction_dataset,-0.53763440860215,-2.85088856438142,1.77561974717712,Diabetes risk (363441)
363682,Is-this-a-good-customer,-0.39292730844793,-2.76289258979574,1.97703797289986,Good customer (363682)
363694,polish_companies_bankruptcy,-0.35855945431608,-4.00920703569053,3.2920881270583604,Polish bankruptcy (363694)
362453,MiniBooNE,0.15981735159818,-0.62679170367853,0.9464264068749,MiniBooNE (362453)
362103,electrical_grid_stability_simulated_classification,0.36211803691323996,-2.0513215020820397,2.77555757590853,Grid stability (362103)
31,credit-g,0.39682539682539003,-11.75814925779727,12.551800051448058,German credit (31)
363616,APSFailure,0.68134572645361,-2.63479846947055,3.9974899223777802,APS failure (363616)
363679,HR_Analytics_Job_Change_of_Data_Scientists,0.77834066731934,0.32139346153611,1.23528787310257,HR job change (363679)
10101,blood-transfusion-service-center,0.7797270955165599,-16.01046618962956,17.56992038066269,Blood transfusion (10101)
125921,LED-display-domain-7digit,0.8333333333333399,-11.23030372318237,12.896970389849049,LED display (125921)
362405,ibm-employee-attrition,1.86318131256952,-2.1451297677031502,5.87149239284221,Employee attrition (362405)
3021,sick,2.17391304347825,-8.29436272724612,12.64218881420264,Sick (3021)
362416,eucalyptus,2.17515161545012,-4.31712975563419,8.66743298653444,Eucalyptus (362416)
11,balance-scale,3.06513409961685,-9.81026516784086,15.94053336707458,Balance scale (11)
